Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Mix
23,19114.12,1824.8433333333328,3,4,3,4,3,7.0,11.27,2022.0,809.98,35.03040185583525,0,49.57494921489417,236.64268203272132,186.26670208571767,Good
24,19114.12,1824.8433333333328,3,4,3,4,3,9.0,13.27,4.0,809.98,33.053114497012245,0,49.57494921489417,21.465380264657146,361.444003853782,Good
28,34847.84,3037.986666666666,2,4,6,1,3,1.0,5.42,5.0,605.03,25.92682170377555,0,18.816214573128885,39.684018417945296,485.2984336755923,Good
28,34847.84,3037.986666666666,2,4,6,1,3,3.0,5.42,5.0,605.03,30.11660045002501,0,18.816214573128885,251.6273687501761,303.3550833433617,Good
35,143162.64,12187.22,1,5,8,3,6,3.0,2.1,3.0,1303.01,35.68583594909283,0,246.9923194537421,453.6151305781054,788.1145499681528,Good
55,30689.89,2612.4908333333333,2,5,4,1,5,6.0,1.99,4.0,632.46,39.37721939916439,0,16.415451659824875,69.10700584725082,425.7266258262577,Good
55,30689.89,2612.4908333333333,2,5,4,1,5,6.0,1.99,4.0,632.46,36.82446782218685,0,16.415451659824875,191.88624358002707,332.9473880934814,Good
55,4148862.0,2612.4908333333333,2,5,4,1,6,6.0,1.99,7.0,632.46,35.5792649548332,0,16.415451659824875,233.93341714114607,300.90021453236227,Good
45,31370.8,2825.233333333333,1,6,12,2,2,3.0,5.76,5.0,421.43,33.85409635172327,0,46.61612907334207,109.4207625788528,376.4864416811384,Good
41,33751.27,2948.605833333333,5,5,20,3,16,19.0,11.0,8.0,1328.93,27.983092917100603,1,65.00817428651536,271.2081244457186,248.6442846010993,Standard
36,54392.16,4766.68,6,4,14,3,10,8.0,5.54,7.0,179.22,33.50246118473791,1,124.39208242092045,329.5529933931268,292.7229241859528,Standard
36,54392.16,4766.68,6,4,14,3,10,10.0,5.54,7.0,179.22,34.02279546061346,1,124.39208242092045,145.33057894012762,486.945338638952,Standard
39,8701.545,519.12875,6,5,32,7,23,10.0,8.86,9.0,2602.69,25.380714318086728,1,36.54819717138717,37.64645856078626,267.71821926782656,Standard
37,25546.26,2415.855,8,7,14,5,16,14.0,7.83,7.0,758.44,38.6380786528206,1,101.3286373638512,105.83772025352778,314.4191423826211,Standard
37,25546.26,2415.855,8,7,14,5,16,15.0,1.83,7.0,758.44,38.485249511178864,1,101.3286373638512,141.04976298055809,279.2070996555907,Standard
